id,gender,grade,Teacher,race,hispanic,disability,age_months,iq_1_nonverb,
754,0,1,801,5,0,1,81,114,
755,1,1,801,3,0,1,82,105,
756,0,1,801,3,0,8,72,109,
757,0,1,801,3,0,1,78,133,
758,0,1,801,3,0,1,77,143,
759,1,1,801,5,1,1,82,109,
760,0,1,801,5,0,11,86,92,
761,0,1,801,5,0,16,77,116,
762,0,1,801,3,0,1,89,103,
763,1,1,801,5,0,1,78,125,
764,0,1,801,5,0,1,76,98,
765,1,1,801,5,0,1,71,121,
766,0,1,801,5,0,1,78,122,
767,1,1,801,5,1,1,76,109,
768,1,1,801,5,0,1,80,,
769,0,1,801,5,1,1,90,,
770,1,1,802,5,0,1,81,128,
771,1,1,802,5,0,1,83,126,
772,1,1,802,5,0,1,81,125,
773,1,1,802,5,0,1,76,109,
774,0,1,802,5,0,1,82,96,
775,1,1,802,3,0,1,83,62,
776,1,1,802,3,0,1,82,135,
777,0,1,802,5,0,1,74,116,
778,0,1,802,5,0,1,78,123,
779,0,1,802,3,1,1,75,122,
780,0,1,802,5,0,1,85,105,
781,0,1,802,5,0,1,76,104,
782,1,1,802,5,0,1,83,114,
783,1,1,802,5,0,1,74,124,
784,1,1,802,5,0,1,75,114,
785,0,1,802,5,0,1,74,107,
786,0,1,802,5,0,1,76,137,
787,0,1,802,5,0,1,77,104,
788,0,1,802,5,1,1,73,114,
789,1,1,802,3,0,1,79,120,
790,0,1,802,5,0,1,84,112,
791,0,1,802,3,0,1,80,112,
792,1,1,803,5,0,1,75,120,
793,1,1,803,5,0,1,74,129,
794,0,1,803,14,0,1,76,114,
795,0,1,803,3,0,1,74,63,
796,0,1,803,5,0,1,77,125,
797,0,1,803,5,0,1,85,103,
798,0,1,803,3,0,1,73,125,
799,0,1,803,5,0,1,73,122,
800,0,1,803,5,0,1,72,98,
801,1,1,803,5,0,16,83,123,
802,0,1,803,5,1,1,86,116,
803,1,1,803,14,0,1,74,120,
804,0,1,803,5,0,1,74,116,
805,1,1,803,5,1,1,74,125,
806,0,1,803,5,1,1,82,109,
807,1,1,803,5,0,1,74,125,
808,1,1,803,5,0,1,79,112,
809,1,1,803,5,0,1,80,112,
810,1,1,803,5,0,1,78,125,
811,1,1,803,5,1,1,77,139,
812,0,1,803,16,1,1,74,112,
813,1,1,803,5,1,1,75,112,
814,0,1,803,5,0,1,91,116,
815,1,1,803,5,0,1,77,149,
816,0,1,804,5,0,1,74,114,
817,0,1,804,5,0,10,75,126,
818,0,1,804,3,0,1,72,114,
819,0,1,804,5,0,1,75,118,
